N	Tempo	EM1	EM2	EM3	EM4	EM5	EM6	EM7	EM8	EM9	EM10	EM11	EM12	CM1	CM2	CM3	CM4	CM5	CM6	CM7	CM8	CM9	CM10	CM11	CM12	AcX		AcY	AcZ	GyX	GyY	GyZ		HCSR
106	136866	71	102	104	84	106	73	103	94	109	102	82	99	93	99	94	101	93	95	70	99	83	95	95	84	-549.00	103.00	7118.00	-4312.00	3484.00	-16600.00	39.30
107	137924	93	99	94	101	93	95	70	99	83	95	95	84	93	93	73	101	79	99	79	81	101	86	74	78	239.00	35.00	-2990.00	-4800.00	1040.00	-16404.00	36.93
108	139382	93	93	73	101	79	99	79	81	101	86	74	78	90	75	82	90	90	88	109	73	88	97	101	85	-626.00	-414.00	-507.00	144.00	1104.00	-18836.00	38.64
109	140723	90	75	82	90	90	88	109	73	88	97	101	85	99	101	90	102	109	94	103	98	70	75	109	92	-1203.00	-227.00	1611.00	-96.00	-376.00	-18328.00	38.45
110	142088	99	101	90	102	109	94	103	98	70	75	109	92	77	79	99	88	75	107	79	105	102	70	109	74	-60.00	-42.00	-868.00	-1300.00	-1952.00	-17500.00	37.41
111	143582	77	79	99	88	75	107	79	105	102	70	109	74	90	108	105	91	95	85	80	72	72	91	105	74	-1740.00	-449.00	3145.00	1488.00	2012.00	-15116.00	37.94
112	144949	90	108	105	91	95	85	80	72	72	91	105	74	75	87	79	94	94	91	108	97	83	81	88	70	-486.00	311.00	238.00	-2472.00	604.00	-17760.00	37.72
113	146273	75	87	79	94	94	91	108	97	83	81	88	70	79	89	104	78	77	83	78	106	83	77	109	76	-551.00	92.00	336.00	-1484.00	-216.00	-17228.00	37.67
114	147781	79	89	104	78	77	83	78	106	83	77	109	76	101	99	79	102	94	103	98	88	77	108	85	82	-856.00	-85.00	1768.00	-2880.00	116.00	-17640.00	39.01
115	148598	101	99	79	102	94	103	98	88	77	108	85	82	99	90	97	109	74	86	81	85	109	79	82	100	-297.00	-15.00	288.00	-2680.00	-1112.00	-15504.00	38.46
116	150373	99	90	97	109	74	86	81	85	109	79	82	100	92	91	104	83	91	78	82	75	72	109	107	86	2166.00	122.00	89.00	-4964.00	3032.00	-25840.00	37.58
117	151400	92	91	104	83	91	78	82	75	72	109	107	86	78	83	107	84	80	95	77	84	97	84	109	77	125.00	1499.00	-2720.00	-4472.00	-92.00	-16832.00	36.67
